hero_names,power,present
3-D Man,Agility,TRUE
A-Bomb,Agility,FALSE
Abe Sapien,Agility,TRUE
Abin Sur,Agility,FALSE
Abomination,Agility,FALSE
Abraxas,Agility,FALSE
Absorbing Man,Agility,FALSE
Adam Monroe,Agility,FALSE
Adam Strange,Agility,FALSE
Agent Bob,Agility,FALSE
Agent Zero,Agility,FALSE
Air-Walker,Agility,FALSE
Ajax,Agility,TRUE
Alan Scott,Agility,FALSE
Alex Mercer,Agility,TRUE
Alex Woolsly,Agility,FALSE
Alien,Agility,TRUE
Allan Quatermain,Agility,FALSE
Amazo,Agility,TRUE
Ammo,Agility,FALSE
Ando Masahashi,Agility,FALSE
Angel,Agility,TRUE
Angel Dust,Agility,TRUE
Angel Salvadore,Agility,FALSE
Angela,Agility,FALSE
Animal Man,Agility,FALSE
Annihilus,Agility,TRUE
Ant-Man,Agility,FALSE
Ant-Man II,Agility,TRUE
Anti-Monitor,Agility,FALSE
Anti-Spawn,Agility,FALSE
Anti-Venom,Agility,FALSE
Apocalypse,Agility,TRUE
Aquababy,Agility,FALSE
Aqualad,Agility,FALSE
Aquaman,Agility,TRUE
Arachne,Agility,TRUE
Archangel,Agility,TRUE
Arclight,Agility,FALSE
Ardina,Agility,TRUE
Ares,Agility,TRUE
Ariel,Agility,FALSE
Armor,Agility,FALSE
Astro Boy,Agility,FALSE
Atlas,Agility,FALSE
Atom,Agility,FALSE
Atom Girl,Agility,FALSE
Atom II,Agility,FALSE
Atom III,Agility,FALSE
Atom IV,Agility,FALSE
Aurora,Agility,FALSE
Azazel,Agility,FALSE
Azrael,Agility,FALSE
Aztar,Agility,FALSE
Bananaman,Agility,FALSE
Bane,Agility,FALSE
Banshee,Agility,FALSE
Bantam,Agility,FALSE
Batgirl,Agility,FALSE
Batgirl IV,Agility,TRUE
Batgirl VI,Agility,TRUE
Batman,Agility,TRUE
Batman II,Agility,TRUE
Battlestar,Agility,TRUE
Batwoman V,Agility,FALSE
Beak,Agility,FALSE
Beast,Agility,TRUE
Beast Boy,Agility,TRUE
Ben 10,Agility,FALSE
Beta Ray Bill,Agility,FALSE
Beyonder,Agility,FALSE
Big Barda,Agility,TRUE
Big Daddy,Agility,FALSE
Big Man,Agility,FALSE
Bill Harken,Agility,FALSE
Billy Kincaid,Agility,FALSE
Binary,Agility,FALSE
Bionic Woman,Agility,TRUE
Bird-Brain,Agility,FALSE
Bird-Man,Agility,FALSE
Bird-Man II,Agility,FALSE
Birdman,Agility,TRUE
Bishop,Agility,FALSE
Bizarro,Agility,TRUE
Bizarro-Girl,Agility,TRUE
Black Abbott,Agility,FALSE
Black Adam,Agility,FALSE
Black Bolt,Agility,TRUE
Black Canary,Agility,TRUE
Black Cat,Agility,TRUE
Black Flash,Agility,TRUE
Black Knight III,Agility,FALSE
Black Lightning,Agility,FALSE
Black Mamba,Agility,FALSE
Black Manta,Agility,TRUE
Black Panther,Agility,TRUE
Black Vulcan,Agility,FALSE
Black Widow,Agility,TRUE
Blackout,Agility,TRUE
Blackwing,Agility,FALSE
Blackwulf,Agility,FALSE
Blade,Agility,TRUE
Bling!,Agility,FALSE
Blink,Agility,FALSE
Blizzard,Agility,FALSE
Blizzard II,Agility,FALSE
Blob,Agility,FALSE
Bloodaxe,Agility,TRUE
Bloodhawk,Agility,FALSE
Bloodwraith,Agility,FALSE
Blue Beetle,Agility,FALSE
Blue Beetle II,Agility,FALSE
Blue Beetle III,Agility,TRUE
Blue Streak,Agility,FALSE
Boba Fett,Agility,TRUE
Bomb Queen,Agility,FALSE
Boom-Boom,Agility,TRUE
Booster Gold,Agility,TRUE
Box IV,Agility,FALSE
Bradley,Agility,FALSE
Brainiac,Agility,FALSE
Brainiac 5,Agility,FALSE
Brother Voodoo,Agility,FALSE
Brundlefly,Agility,TRUE
Buffy,Agility,TRUE
Bullseye,Agility,FALSE
Bumblebee,Agility,FALSE
Bumbleboy,Agility,FALSE
Bushido,Agility,TRUE
Cable,Agility,TRUE
Callisto,Agility,TRUE
Cameron Hicks,Agility,FALSE
Cannonball,Agility,FALSE
Captain America,Agility,TRUE
Captain Atom,Agility,TRUE
Captain Britain,Agility,TRUE
Captain Cold,Agility,FALSE
Captain Epic,Agility,FALSE
Captain Hindsight,Agility,FALSE
Captain Marvel,Agility,TRUE
Captain Marvel II,Agility,FALSE
Captain Midnight,Agility,FALSE
Captain Planet,Agility,FALSE
Captain Universe,Agility,FALSE
Carnage,Agility,TRUE
Cat,Agility,TRUE
Catwoman,Agility,TRUE
Century,Agility,FALSE
Cerebra,Agility,FALSE
Chamber,Agility,FALSE
Chameleon,Agility,FALSE
Changeling,Agility,FALSE
Cheetah,Agility,TRUE
Cheetah II,Agility,TRUE
Cheetah III,Agility,TRUE
Chromos,Agility,TRUE
Chuck Norris,Agility,FALSE
Citizen Steel,Agility,TRUE
Claire Bennet,Agility,FALSE
Clayface,Agility,TRUE
Cloak,Agility,FALSE
Cogliostro,Agility,FALSE
Colossus,Agility,FALSE
Concrete,Agility,FALSE
Copycat,Agility,FALSE
Cottonmouth,Agility,FALSE
Crimson Crusader,Agility,FALSE
Crimson Dynamo,Agility,FALSE
Crystal,Agility,FALSE
Curse,Agility,FALSE
Cy-Gor,Agility,FALSE
Cyborg,Agility,FALSE
Cyborg Superman,Agility,FALSE
Cyclops,Agility,TRUE
DL Hawkins,Agility,FALSE
Dagger,Agility,FALSE
Daphne Powell,Agility,FALSE
Daredevil,Agility,TRUE
Darkhawk,Agility,FALSE
Darkman,Agility,FALSE
Darkseid,Agility,TRUE
Darkstar,Agility,FALSE
Darth Maul,Agility,TRUE
Darth Vader,Agility,TRUE
Dash,Agility,TRUE
Data,Agility,TRUE
Dazzler,Agility,TRUE
Deadman,Agility,TRUE
Deadpool,Agility,TRUE
Deadshot,Agility,FALSE
Deathlok,Agility,TRUE
Deathstroke,Agility,TRUE
Dementor,Agility,TRUE
Demogoblin,Agility,TRUE
Destroyer,Agility,FALSE
Diamondback,Agility,FALSE
Doc Samson,Agility,FALSE
Doctor Doom,Agility,FALSE
Doctor Doom II,Agility,FALSE
Doctor Fate,Agility,FALSE
Doctor Octopus,Agility,TRUE
Doctor Poison,Agility,FALSE
Doctor Strange,Agility,FALSE
Domino,Agility,TRUE
Donatello,Agility,TRUE
Donna Troy,Agility,FALSE
Doomsday,Agility,TRUE
Doppelganger,Agility,TRUE
Dormammu,Agility,FALSE
Dr Manhattan,Agility,FALSE
Drax the Destroyer,Agility,TRUE
Ego,Agility,FALSE
Elastigirl,Agility,TRUE
Electro,Agility,FALSE
Elektra,Agility,TRUE
Elle Bishop,Agility,FALSE
Elongated Man,Agility,TRUE
Emma Frost,Agility,FALSE
Enchantress,Agility,FALSE
Energy,Agility,FALSE
Ethan Hunt,Agility,TRUE
Etrigan,Agility,FALSE
Evil Deadpool,Agility,TRUE
Evilhawk,Agility,FALSE
Exodus,Agility,FALSE
Fabian Cortez,Agility,FALSE
Falcon,Agility,FALSE
Fallen One II,Agility,FALSE
Faora,Agility,FALSE
Feral,Agility,TRUE
Fighting Spirit,Agility,FALSE
Fin Fang Foom,Agility,FALSE
Fire,Agility,FALSE
Firebird,Agility,FALSE
Firelord,Agility,FALSE
Firestar,Agility,FALSE
Firestorm,Agility,FALSE
Flash,Agility,FALSE
Flash Gordon,Agility,FALSE
Flash II,Agility,TRUE
Flash III,Agility,FALSE
Flash IV,Agility,FALSE
Forge,Agility,FALSE
Franklin Richards,Agility,TRUE
Frenzy,Agility,FALSE
Frigga,Agility,FALSE
Galactus,Agility,FALSE
Gambit,Agility,TRUE
Gamora,Agility,TRUE
Garbage Man,Agility,FALSE
Gary Bell,Agility,FALSE
General Zod,Agility,FALSE
Genesis,Agility,FALSE
Ghost Rider,Agility,TRUE
Ghost Rider II,Agility,FALSE
Giganta,Agility,FALSE
Gladiator,Agility,TRUE
Goblin Queen,Agility,FALSE
Godzilla,Agility,TRUE
Gog,Agility,TRUE
Goku,Agility,TRUE
Goliath IV,Agility,FALSE
Gorilla Grodd,Agility,TRUE
Granny Goodness,Agility,FALSE
Gravity,Agility,FALSE
Greedo,Agility,FALSE
Green Arrow,Agility,TRUE
Green Goblin,Agility,TRUE
Green Goblin II,Agility,FALSE
Green Goblin III,Agility,FALSE
Green Goblin IV,Agility,FALSE
Groot,Agility,FALSE
Guy Gardner,Agility,FALSE
Hal Jordan,Agility,TRUE
Han Solo,Agility,TRUE
Hancock,Agility,TRUE
Harley Quinn,Agility,TRUE
Harry Potter,Agility,TRUE
Havok,Agility,FALSE
Hawk,Agility,FALSE
Hawkeye,Agility,TRUE
Hawkeye II,Agility,FALSE
Hawkgirl,Agility,FALSE
Hawkman,Agility,FALSE
Heat Wave,Agility,FALSE
Hela,Agility,TRUE
Hellboy,Agility,FALSE
Hellcat,Agility,TRUE
Hellgramite,Agility,FALSE
Hellstorm,Agility,FALSE
Hercules,Agility,FALSE
Hiro Nakamura,Agility,FALSE
Hit-Girl,Agility,TRUE
Hobgoblin,Agility,FALSE
Hollow,Agility,FALSE
Hope Summers,Agility,FALSE
Hulk,Agility,TRUE
Human Torch,Agility,TRUE
Huntress,Agility,FALSE
Husk,Agility,FALSE
Hybrid,Agility,TRUE
Hydro-Man,Agility,FALSE
Hyperion,Agility,TRUE
Iceman,Agility,TRUE
Impulse,Agility,FALSE
Indiana Jones,Agility,FALSE
Indigo,Agility,FALSE
Ink,Agility,FALSE
Invisible Woman,Agility,FALSE
Iron Fist,Agility,TRUE
Iron Man,Agility,FALSE
Iron Monger,Agility,FALSE
Isis,Agility,FALSE
JJ Powell,Agility,FALSE
Jack of Hearts,Agility,FALSE
Jack-Jack,Agility,TRUE
James Bond,Agility,FALSE
James T. Kirk,Agility,FALSE
Jar Jar Binks,Agility,TRUE
Jason Bourne,Agility,TRUE
Jean Grey,Agility,FALSE
Jean-Luc Picard,Agility,FALSE
Jennifer Kale,Agility,FALSE
Jessica Cruz,Agility,TRUE
Jessica Jones,Agility,FALSE
Jim Powell,Agility,FALSE
Johann Krauss,Agility,FALSE
John Constantine,Agility,FALSE
John Stewart,Agility,FALSE
John Wraith,Agility,FALSE
Joker,Agility,FALSE
Jolt,Agility,FALSE
Jubilee,Agility,FALSE
Judge Dredd,Agility,TRUE
Juggernaut,Agility,FALSE
Junkpile,Agility,FALSE
Justice,Agility,FALSE
K-2SO,Agility,FALSE
Kang,Agility,FALSE
Karate Kid,Agility,TRUE
Kathryn Janeway,Agility,FALSE
Katniss Everdeen,Agility,TRUE
Kevin 11,Agility,TRUE
Kick-Ass,Agility,TRUE
Kid Flash,Agility,FALSE
Killer Croc,Agility,TRUE
Killer Frost,Agility,FALSE
Kilowog,Agility,FALSE
King Kong,Agility,TRUE
King Shark,Agility,FALSE
Klaw,Agility,FALSE
Kool-Aid Man,Agility,FALSE
Kraven II,Agility,TRUE
Kraven the Hunter,Agility,TRUE
Krypto,Agility,FALSE
Kyle Rayner,Agility,FALSE
Kylo Ren,Agility,TRUE
Lady Bullseye,Agility,FALSE
Lady Deathstrike,Agility,TRUE
Lara Croft,Agility,TRUE
Leader,Agility,FALSE
Leech,Agility,FALSE
Legion,Agility,TRUE
Leonardo,Agility,TRUE
Lex Luthor,Agility,FALSE
Light Lass,Agility,FALSE
Lightning Lad,Agility,FALSE
Lightning Lord,Agility,FALSE
Little Epic,Agility,FALSE
Living Brain,Agility,FALSE
Living Tribunal,Agility,TRUE
Liz Sherman,Agility,FALSE
Lizard,Agility,FALSE
Lobo,Agility,FALSE
Loki,Agility,FALSE
Longshot,Agility,TRUE
Lord Voldemort,Agility,FALSE
Luke Cage,Agility,FALSE
Luke Campbell,Agility,FALSE
Luke Skywalker,Agility,TRUE
Luna,Agility,FALSE
Lyja,Agility,FALSE
MODOK,Agility,TRUE
Mach-IV,Agility,FALSE
Machine Man,Agility,FALSE
Magneto,Agility,FALSE
Magog,Agility,FALSE
Magus,Agility,FALSE
Man of Miracles,Agility,FALSE
Man-Bat,Agility,TRUE
Man-Thing,Agility,FALSE
Man-Wolf,Agility,TRUE
Mandarin,Agility,FALSE
Mantis,Agility,FALSE
Martian Manhunter,Agility,TRUE
Marvel Girl,Agility,FALSE
Master Brood,Agility,FALSE
Master Chief,Agility,TRUE
Match,Agility,FALSE
Matt Parkman,Agility,FALSE
Maverick,Agility,FALSE
Maxima,Agility,FALSE
Maya Herrera,Agility,FALSE
Medusa,Agility,FALSE
Meltdown,Agility,TRUE
Mephisto,Agility,FALSE
Mera,Agility,FALSE
Metallo,Agility,FALSE
Metamorpho,Agility,FALSE
Metron,Agility,FALSE
Micah Sanders,Agility,FALSE
Michelangelo,Agility,TRUE
Micro Lad,Agility,FALSE
Mimic,Agility,FALSE
Minna Murray,Agility,FALSE
Misfit,Agility,FALSE
Miss Martian,Agility,FALSE
Mister Fantastic,Agility,FALSE
Mister Freeze,Agility,FALSE
Mister Knife,Agility,FALSE
Mister Mxyzptlk,Agility,TRUE
Mister Sinister,Agility,FALSE
Mockingbird,Agility,TRUE
Mohinder Suresh,Agility,FALSE
Molten Man,Agility,FALSE
Monarch,Agility,FALSE
Monica Dawson,Agility,FALSE
Moon Knight,Agility,FALSE
Moonstone,Agility,FALSE
Morlun,Agility,TRUE
Moses Magnum,Agility,FALSE
Mr Immortal,Agility,FALSE
Mr Incredible,Agility,FALSE
Ms Marvel II,Agility,FALSE
Multiple Man,Agility,FALSE
Mysterio,Agility,FALSE
Mystique,Agility,TRUE
Namor,Agility,TRUE
Namora,Agility,FALSE
Namorita,Agility,TRUE
Naruto Uzumaki,Agility,TRUE
Nathan Petrelli,Agility,FALSE
Nebula,Agility,FALSE
Negasonic Teenage Warhead,Agility,FALSE
Nick Fury,Agility,FALSE
Nightcrawler,Agility,TRUE
Nightwing,Agility,TRUE
Niki Sanders,Agility,FALSE
Nina Theroux,Agility,FALSE
Northstar,Agility,FALSE
Nova,Agility,TRUE
Odin,Agility,TRUE
Offspring,Agility,FALSE
Omniscient,Agility,FALSE
One Punch Man,Agility,TRUE
